"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"127",22,2016,8,30,"LITTLE_BREWSTER","3","TAAD",NA,NA,"YOY",9,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"128",23,2016,8,29,"LITTLE_BREWSTER","2","TAAD",NA,NA,"YOY",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"129",24,2016,8,25,"LITTLE_BREWSTER","1","TAAD",NA,NA,"YOY",19,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"130",25,2016,9,1,"LITTLE_BREWSTER","4","TAAD",NA,NA,"YOY",5,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"131",26,2016,8,30,"LITTLE_BREWSTER","3","TAAD",NA,NA,"0-10",34,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"132",27,2016,8,29,"LITTLE_BREWSTER","2","TAAD",NA,NA,"0-10",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"133",28,2016,8,25,"LITTLE_BREWSTER","1","TAAD",NA,NA,"0-10",11,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"134",29,2016,9,1,"LITTLE_BREWSTER","4","TAAD",NA,NA,"0-10",73,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"135",30,2016,8,30,"LITTLE_BREWSTER","3","TAAD",NA,NA,"10-50",9,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"136",31,2016,8,29,"LITTLE_BREWSTER","2","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"137",32,2016,8,30,"LITTLE_BREWSTER","3","TAAD",NA,NA,"50-100",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"138",33,2016,8,9,"NE_APPLEDORE","BROADWAY_42ND","TAAD",NA,NA,"0-10",31,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"139",34,2016,8,9,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","TAAD",NA,NA,"0-10",40,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"140",35,2016,8,8,"NE_APPLEDORE","NORWEGIAN_COVE","TAAD",NA,NA,"0-10",6,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"141",36,2016,8,8,"NE_APPLEDORE","BROAD_COVE","TAAD",NA,NA,"0-10",63,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"142",37,2016,8,9,"NE_APPLEDORE","BROADWAY_42ND","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"143",38,2016,8,9,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"144",39,2016,8,8,"NE_APPLEDORE","BROAD_COVE","TAAD",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"145",40,2016,8,9,"NW_APPLEDORE","MAGIC_8_BALL","TAAD",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"146",41,2016,8,11,"NW_APPLEDORE","LARUS_LEDGE","TAAD",NA,NA,"0-10",13,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"147",42,2016,8,9,"NW_APPLEDORE","MAGIC_8_BALL","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"148",43,2016,8,11,"NW_APPLEDORE","NORTH_HEAD","TAAD",NA,NA,"0-10",4,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"149",44,2016,8,11,"NW_APPLEDORE","NORTH_HEAD","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"150",45,2016,8,10,"SW_APPLEDORE","SOUTH_PEPPERRELL","TAAD",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"151",46,2016,8,10,"SW_APPLEDORE","SOUTH_PEPPERRELL","TAON",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopteri","Perciformes","Labridae","Tautoga","Tautoga onitis"
"152",47,2016,8,10,"SW_APPLEDORE","NORTH_SMITHS_COVE","TAAD",NA,NA,"YOY",52,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"153",48,2016,8,10,"SW_APPLEDORE","SOUTH_SMITHS_COVE","TAAD",NA,NA,"YOY",9,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"154",49,2016,8,10,"SW_APPLEDORE","NORTH_PEPPERRELL","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"155",50,2016,8,10,"SW_APPLEDORE","SOUTH_PEPPERRELL","TAAD",NA,NA,"0-10",61,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"156",51,2016,8,10,"SW_APPLEDORE","NORTH_SMITHS_COVE","TAAD",NA,NA,"0-10",12,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"157",52,2016,8,10,"SW_APPLEDORE","SOUTH_SMITHS_COVE","TAAD",NA,NA,"0-10",79,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
"158",53,2016,8,10,"SW_APPLEDORE","SOUTH_SMITHS_COVE","TAAD",NA,NA,"10-50",3,80,"Fish","Chordates","Fish",NA,"Cunner ",NA,NA,NA,NA,NA,NA,"Tautogolabrus adsperus"
