"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","NOTES"
"334",334,2014,8,8,"LITTLE_BREWSTER","3","DEAC",16,"O",3,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"335",335,2014,8,7,"LITTLE_BREWSTER","4","SL",16,"O",18,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 2-3"
"336",336,2014,8,7,"LITTLE_BREWSTER","4","SLJ",16,"O",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"337",337,2014,8,7,"LITTLE_BREWSTER","4","ASFOS",16,"O",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"338",338,2014,8,7,"LITTLE_BREWSTER","1","SL",24,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 2-3"
"339",339,2014,8,7,"LITTLE_BREWSTER","1","SLJ",24,"I",2,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"340",340,2014,8,7,"LITTLE_BREWSTER","1","BLD",24,"I",1,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"341",341,2014,8,8,"LITTLE_BREWSTER","2","SL",24,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 1-2"
"342",342,2014,8,8,"LITTLE_BREWSTER","2","SLJ",24,"I",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"343",343,2014,8,8,"LITTLE_BREWSTER","2","BLD",24,"I",5,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"344",344,2014,8,8,"LITTLE_BREWSTER","2","DEAC",24,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"345",345,2014,8,8,"LITTLE_BREWSTER","2","ASFOS",24,"I",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"346",346,2014,8,8,"LITTLE_BREWSTER","3","SL",24,"I",13,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"347",347,2014,8,8,"LITTLE_BREWSTER","3","SLJ",24,"I",2,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"348",348,2014,8,7,"LITTLE_BREWSTER","4","SL",24,"I",14,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 2-3"
"349",349,2014,8,7,"LITTLE_BREWSTER","4","SLJ",24,"I",5,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"350",350,2014,8,7,"LITTLE_BREWSTER","4","BLD",24,"I",21,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"351",351,2014,8,7,"LITTLE_BREWSTER","4","ASFOS",24,"I",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"352",352,2014,8,7,"LITTLE_BREWSTER","1","ASFOS",32,"O",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"353",353,2014,8,8,"LITTLE_BREWSTER","2","SL",32,"O",3,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 1-2"
"354",354,2014,8,8,"LITTLE_BREWSTER","2","SLJ",32,"O",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"355",355,2014,8,8,"LITTLE_BREWSTER","2","ASFOS",32,"O",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"356",356,2014,8,8,"LITTLE_BREWSTER","3","SL",32,"O",5,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"357",357,2014,8,8,"LITTLE_BREWSTER","3","BLD",32,"O",7,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"358",358,2014,8,8,"LITTLE_BREWSTER","3","ASFOS",32,"O",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"359",359,2014,8,7,"LITTLE_BREWSTER","4","SL",32,"O",12,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 2-3"
"360",360,2014,8,7,"LITTLE_BREWSTER","4","DEAC",32,"O",9,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"361",361,2014,8,7,"LITTLE_BREWSTER","1","SL",40,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 2-3"
"362",362,2014,8,7,"LITTLE_BREWSTER","1","ASFOS",40,"I",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"363",363,2014,8,8,"LITTLE_BREWSTER","2","SL",40,"I",6,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 1-2"
"364",364,2014,8,8,"LITTLE_BREWSTER","2","BLD",40,"I",8,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"365",365,2014,8,8,"LITTLE_BREWSTER","2","DEVI",40,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"366",366,2014,8,8,"LITTLE_BREWSTER","3","SL",40,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"367",367,2014,8,8,"LITTLE_BREWSTER","3","ASFOS",40,"I",1,1,"Invertebrate","Echinoderms","Sea Stars","juvenile","Forbes Star",NA,NA,NA,NA,NA,NA,"Asterias forbesii",NA
"368",368,2014,8,7,"LITTLE_BREWSTER","4","SL",40,"I",10,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","Visibility entered 2-3"
"369",369,2014,8,7,"LITTLE_BREWSTER","4","DEAC",40,"I",5,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"370",370,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","SL",0,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"371",371,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","DEVI",0,"O",9,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"372",372,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","AGCL",0,"O",3,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum",NA
"373",373,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","HESA",0,"O",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta",NA
"374",374,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","SADE",0,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,NA,"Chromista","Ochrophyta","Phaeophyceae","Tilopteridales","Phyllariaceae","Saccorhiza","Saccorhiza dermatodea",NA
"375",375,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","ULSP",0,"O",1,1,"Fish","Chordates","Fish",NA,"Shanny",NA,NA,NA,NA,NA,NA,"Ulvaria ","note: spot on dorsal, band on eye"
"376",376,2014,7,18,"NE_APPLEDORE","BROAD_COVE","SL",0,"O",29,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"377",377,2014,7,18,"NE_APPLEDORE","BROAD_COVE","SLJ",0,"O",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"378",378,2014,7,18,"NE_APPLEDORE","BROAD_COVE","CAIS",0,"O",1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"379",379,2014,7,18,"NE_APPLEDORE","BROAD_COVE","CAIS",0,"O",1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Green Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas",NA
"380",380,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SL",0,"O",5,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"381",381,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SLJ",0,"O",1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"382",382,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","DEVI",0,"O",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"383",383,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","HESA",0,"O",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta",NA
"384",384,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","AGCL",0,"O",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum",NA
"385",385,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SDS",0,"O",34,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis",NA
"386",386,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","BUUN",0,"O",1,1,"Invertebrate","Molluscs","Gastropods",NA,"Wavy Whelk","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum",NA
"387",387,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","SL",0,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"388",388,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","SDS",0,"O",46,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis",NA
"389",389,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","ASRU",0,"O",2,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA
"390",390,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","SL",8,"I",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"391",391,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","SLJ",8,"I",3,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"392",392,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","AGCL",8,"I",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum",NA
"393",393,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","HESA",8,"I",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta",NA
"394",394,2014,7,18,"NE_APPLEDORE","BROAD_COVE","SL",8,"I",32,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"395",395,2014,7,18,"NE_APPLEDORE","BROAD_COVE","SLJ",8,"I",3,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"396",396,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","DEVI",8,"I",8,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"397",397,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","CAIS",8,"I",1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"398",398,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","CAIS",8,"I",1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Green Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas",NA
"399",399,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","ASRU",8,"I",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA
"400",400,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SDS",8,"I",40,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis",NA
"401",401,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","PHGU",8,"I",1,1,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"402",402,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","DEAC",8,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"403",403,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","ULSP",8,"I",1,1,"Fish","Chordates","Fish",NA,"Shanny",NA,NA,NA,NA,NA,NA,"Ulvaria ",NA
"404",404,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","SL",8,"I",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"405",405,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","DEVI",8,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"406",406,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","DEAC",8,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"407",407,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","DEVI",16,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"408",408,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","AGCL",16,"O",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum",NA
"409",409,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","ASRU",16,"O",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA
"410",410,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","DEAC",16,"O",6,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"411",411,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","MYSP",16,"O",1,1,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"412",412,2014,7,18,"NE_APPLEDORE","BROAD_COVE","SL",16,"O",36,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"413",413,2014,7,18,"NE_APPLEDORE","BROAD_COVE","DEVI",16,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"414",414,2014,7,18,"NE_APPLEDORE","BROAD_COVE","PHGU",16,"O",1,1,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"415",415,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SL",16,"O",3,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"416",416,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","ASRU",16,"O",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA
"417",417,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","AGCL",16,"O",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum",NA
"418",418,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","SL",16,"O",13,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"419",419,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","AGCL",16,"O",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum",NA
"420",420,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","DEAC",16,"O",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"421",421,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","SLJ",24,"I",3,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"422",422,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","SDS",24,"I",28,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis",NA
"423",423,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","ASRU",24,"I",3,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA
"424",424,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","HESA",24,"I",1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta",NA
"425",425,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","DEAC",24,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"426",426,2014,7,19,"NE_APPLEDORE","BROADWAY_42ND","MYSP",24,"I",1,1,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"427",427,2014,7,18,"NE_APPLEDORE","BROAD_COVE","SL",24,"I",20,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"428",428,2014,7,18,"NE_APPLEDORE","BROAD_COVE","BLD",24,"I",3,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"429",429,2014,7,18,"NE_APPLEDORE","BROAD_COVE","DEVI",24,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis",NA
"430",430,2014,7,18,"NE_APPLEDORE","BROAD_COVE","DEAC",24,"I",2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia aculeata",NA
"431",431,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SL",24,"I",1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"432",432,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SLJ",24,"I",2,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"433",433,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","BLD",24,"I",3,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
"434",434,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","CAIS",24,"I",1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"435",435,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","CAIS",24,"I",1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Green Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas",NA
"436",436,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","ASRU",24,"I",4,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",NA
"437",437,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","SDS",24,"I",4,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis",NA
"438",438,2014,7,21,"NE_APPLEDORE","DEVILS_DANCE_FLOOR","ULSP",24,"I",1,1,"Fish","Chordates","Fish",NA,"Shanny",NA,NA,NA,NA,NA,NA,"Ulvaria ",NA
"439",439,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","SL",24,"I",4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"440",440,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","SLJ",24,"I",2,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima",NA
"441",441,2014,7,18,"NE_APPLEDORE","NORWEGIAN_COVE","BLD",24,"I",1,1,"Algae","Phaeophyta","Brown Algae"," juvenile <3cm kelps",NA,NA,NA,NA,NA,NA,NA,"UNID Juv Laminariales",NA
